f0,f1,f2,f3,f4,f5,f6,f7,f8,vendas
15.6,0.0,43,1,13,1,5.0,1.5,0.7,14
35.5,0.0,41,4,19,1,5.0,1.5,0.7,2
26.6,0.0,99,4,12,1,8.0,3.5,0.563,45
25.3,0.0,50,6,6,1,50.0,25.0,0.5,58
22.8,3.1,42,2,9,0,12.0,5.0,0.583,3
28.9,16.1,78,3,23,1,20.0,7.0,0.65,0
21.7,12.6,35,4,12,1,4.0,1.2,0.7,43
32.8,0.0,78,6,13,1,5.0,1.5,0.7,46
29.6,7.3,39,2,12,1,7.0,3.0,0.571,31
18.9,0.0,64,1,11,1,15.0,7.0,0.533,6
27.8,0.0,34,2,7,1,5.0,1.5,0.7,10
24.2,1.3,93,5,16,1,8.0,2.0,0.75,20
25.6,0.0,98,1,13,1,50.0,25.0,0.5,32
28.4,0.0,47,3,17,1,7.0,3.0,0.571,0
17.1,0.9,84,1,11,1,10.0,3.5,0.65,43
23.8,0.0,100,3,22,1,15.0,7.0,0.533,16
31.6,0.0,73,4,14,1,25.0,8.0,0.68,14
25.0,9.1,52,5,14,1,4.0,1.2,0.7,48
35.0,0.0,49,6,22,1,10.0,3.5,0.65,11
27.4,0.0,92,4,6,0,20.0,7.0,0.65,0
36.4,0.0,40,2,13,0,25.0,8.0,0.68,11
26.2,0.0,46,6,23,1,4.0,1.2,0.7,30
36.8,3.3,99,6,19,1,5.0,1.5,0.7,46
30.9,0.0,77,2,18,1,8.0,2.0,0.75,24
25.4,5.0,59,2,6,1,12.0,6.0,0.5,2
15.2,0.0,34,5,7,1,15.0,7.0,0.533,16
26.8,0.0,46,5,21,1,20.0,7.0,0.65,9
28.3,4.9,42,6,19,1,12.0,5.0,0.583,4
23.1,8.2,73,0,9,1,5.0,1.5,0.7,5
20.7,0.0,53,4,20,1,8.0,2.0,0.75,16
20.7,18.5,99,6,23,1,7.0,3.0,0.571,2
36.3,0.0,57,1,19,1,25.0,8.0,0.68,22
18.8,0.0,88,3,14,1,50.0,25.0,0.5,82
31.0,14.6,67,4,21,0,7.0,3.0,0.571,0
28.3,0.0,91,0,16,1,8.0,3.5,0.563,9
18.6,19.2,38,6,11,1,10.0,3.5,0.65,5
24.3,0.0,83,1,7,1,5.0,1.5,0.7,33
28.0,6.3,80,1,16,1,5.0,1.5,0.7,6
29.8,0.0,42,2,8,1,5.0,2.0,0.6,0
19.9,5.3,50,0,13,1,4.0,1.2,0.7,22
31.2,12.2,100,5,22,0,12.0,6.0,0.5,10
17.4,0.0,100,2,9,1,7.0,3.0,0.571,58
21.5,4.2,62,1,14,1,5.0,2.0,0.6,35
29.6,0.0,46,0,6,1,25.0,8.0,0.68,8
18.7,8.8,39,3,23,1,5.0,1.5,0.7,0
27.5,0.0,46,4,23,1,12.0,5.0,0.583,12
23.4,18.7,43,2,12,1,25.0,8.0,0.68,43
35.3,8.1,60,5,10,1,20.0,7.0,0.65,50
35.3,0.0,82,1,16,1,5.0,2.0,0.6,40
34.9,0.0,43,1,14,0,8.0,2.0,0.75,0
34.7,0.0,59,1,20,1,50.0,25.0,0.5,32
30.2,0.0,65,2,14,1,8.0,3.5,0.563,26
26.7,0.0,33,6,23,1,20.0,7.0,0.65,6
19.1,19.3,74,0,9,1,4.0,1.2,0.7,18
25.0,19.7,85,3,12,1,12.0,5.0,0.583,21
36.3,10.8,38,5,12,1,25.0,8.0,0.68,25
29.3,13.3,82,5,15,1,5.0,1.5,0.7,23
31.0,11.1,52,3,18,1,20.0,7.0,0.65,4
21.9,11.0,71,2,15,1,15.0,7.0,0.533,9
25.2,4.3,66,6,11,1,12.0,6.0,0.5,32
29.6,0.0,58,0,13,1,10.0,3.5,0.65,14
